id	model_id	date_created	target_result	sample_id_deprecating	source_id	source_origin	llm_prompt_tokens	llm_completion_tokens	llm_finish_reason
1	gpt3.5_en_nan01_poj	20231005	Particle physics sī chi̍t ê kong-ho̍k kì-thé ê chú-iōng, chit-ê chú-iōng sī kì-thé ê khuànn-tiān kong-ho̍k ê lóng-chiáu kap chú-iōng ê hoat-êng. Chú-iōng ê chhut-chhù sī siōng-chiáu ê chhut-chhù, chú-iōng ê hoat-êng sī siōng-chiáu ê hoat-êng. Chú-iōng ê hoat-êng ê kiat-kok sī siōng-chiáu ê kiat-kok. Modern particle physics kám-á sī gōa ê kong-ho̍k kì-thé, kah chit-ê kong-ho̍k kì-thé sī quantum mechanics, relativity, field theory, kap-iōng ... chit-ê kong-ho̍k kì-thé sī kong-ho̍k ê khuànn-tiān kap chhìn-chúi ê khuànn-tiān ê tsi̍t-chiáu.	1	1	wiki	132	285	stop
2	gpt3.5_en_nan01_poj	20231005	"Khi it lâi tio̍h lí-ha̍k hōe lí-ha̍k, 

Lí-ha̍k, chit-ê tio̍h-chèng, iáu chú-ia̍h chhut-siáⁿ ê chhòng-khì sī kóng kám ê tio̍h-chèng. Sī 20 sè-kí tī-ūi, lí-ha̍k chit-ê chú-ia̍h chhut-siáⁿ ê tio̍h-chèng kap chhòng-khì chhut-siáⁿ ê tio̍h-chèng."	2	2	wiki	106	164	stop
3	gpt3.5_en_nan01_poj	20231005	Neuralink Corporation sī chi̍t ê neurotechnology kong-si, chhiau-liāu kāi-ha̍k ê nā-ūi-ê kong-hōe kong-si (BCI) kong-hōe. Chhōe-tiān ê gōa-ha̍k chit-ê California, i tio̍h-ka-chi Elon Musk kap tshit-ê kong-ha̍k kap kong-si. Neuralink chhōe-tiān tōng-àn 2016 nî, chhut-siā ê sī 2017 nî 3-goe̍h-gue̍h.	3	3	wiki	119	161	stop
4	gpt3.5_en_nan01_poj	20231005	Tī chit-ê kong-si kāi-si lí, i kóng-si lāi-á tio̍h ê tōng-ha̍k chú-iàu, chit-ê tio̍h-hōe kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng-si kóng	4	4	wiki	214	2048	length
5	gpt3.5_en_nan01_poj	20231005	Yī chi̍t ê sin-gí-giām-ha̍k chiu-chhe̍k-ê kap bē lāi ê MIT tē-khòe-kè kóng, chiah ê kì-ji̍t kóng ê khuànn-cho̍k "keng-siáu-tī" ê.	5	5	wiki	86	83	stop
6	gpt3.5_en_nan01_poj	20231005	"Kong-si
Li̍p-sú
Neuralink iáⁿ-tōng 2016 nî ê Elon Musk kap tsa̍p-chhit ê chú-iû lūn-ha̍k kap kong-si. Iáⁿ-tōng ê chú-iû bāng-chèng chit-ê chú-gī, iû-ha̍k, kap lō͘-kong ê chú-iû. Neuralink ê "trademark" iáⁿ-tōng ê sī Musk ê iāⁿ-chiáⁿ 2017 nî 1 goe̍h-ji̍t kóng-si, kāi-sī bô tōa-ê tōaⁿ-siām."	6	6	wiki	124	179	stop
7	gpt3.5_en_nan01_poj	20231005	2017-nî 4-goe̍h-gue̍h, Neuralink tī tō͘-ê gōa-ha̍k sī kám-ha̍k gōa-ha̍k kong-si ê mih-kiāⁿ sī tī lâng ê jîn-sim liáu kā lâng ê jîn-sim kong-sī kāi-hōe. Musk kóng, i sī Iain M. Banks ê "Culture" tsóng ê 10-tsóng chhùi-kip, kāi-hōe "neural laces" kā lâng bāng lâng kāi-hōe kāi jîn-sim kong-sī.	7	7	wiki	133	177	stop
8	gpt3.5_en_nan01_poj	20231005	Musk kám-siáⁿ sī sī-á-kiáⁿ kong-hoat lāi ê AI tī lâng ê chhut-siáⁿ lāi chhut-siáⁿ ê tsit-tha̍k, m̄-koh chhut-siáⁿ chit-ê chhùi-chōng, kóng-khì lâi kong chhut-siáⁿ ê AI ê fa-siáⁿ. Bô chhut-siáⁿ ê kong-hoat, Musk kám-siáⁿ kám-chheng lâi chhut-siáⁿ ê AI tī lâng ê chhut-siáⁿ lāi chhut-siáⁿ ê tsit-tha̍k. Musk kám-siáⁿ kóng, chit-ê kong-si ê chū-kî sī bāng-tit chit-ê chhùi-chōng ê lâng. I sī kám-siáⁿ kám-chheng, bô chhut-siáⁿ ê kong-hoat, AI tī lâng ê chhut-siáⁿ lāi chhut-siáⁿ ê tsit-tha̍k sī tōa-tī lâng ê chhut-siáⁿ chhut-siáⁿ ê tsit-tha̍k. Musk pē-hōe, chit-ê teh-nī ê chhùi-chōng sī "chhut-siáⁿ ê chhùi-chōng ê lâng" kap "kâi lâng ài kap lâi tio̍h" kap "chia̍h-siáⁿ lâng ê chhùi-chōng kap lâng ê sîn-té, chia̍h-siáⁿ lâng tio̍h tōa-tī AI".	8	8	wiki	201	471	stop
9	gpt3.5_en_nan01_poj	20231005	Tiong-kok 2 Sè-kài Chia̍t-seng, kóng 1939 nî tī 1945 nî chhut-pō͘ ê, sī tī-ê kok-chèng chia̍t-seng, liân-ha̍p-ê kok-chèng chia̍t-seng, tī sè-kài ê chia̍t-seng, kám ê chhut-pō͘ ê chia̍t-seng. Tī-ê thòe, iah 70-ē kok-ka, tī-ê chhut-pō͘ ê chia̍t-seng, chit-ê chhut-pō͘ ê chia̍t-seng, tī-ê chhut-pō͘ ê chia̍t-seng. Tī-ê chhut-pō͘, chit-ê chhut-pō͘ ê chia̍t-seng, chit-ê chhut-pō͘ ê chia̍t-seng, chit-ê chhut-pō͘ ê chia̍t-seng.	9	9	wiki	146	266	stop
10	gpt3.5_en_nan01_poj	20231005	I ê kóng-tiāu sè-kài ê Tâi-oân, Nihon ê bīn-chek kong-hōe Pacific War; Nihon ê bīn-chek tī Tâi-tâi kong-hōe Southeast Asian War.	10	10	wiki	93	63	stop
